INFO 2025-08-12 23:07:47,343 basehttp 7488 17012 "GET /api/categories/ HTTP/1.1" 200 7778
INFO 2025-08-12 23:07:52,475 basehttp 7488 7280 "OPTIONS /api/orders/ HTTP/1.1" 200 0
INFO 2025-08-12 23:07:52,481 basehttp 7488 7280 "OPTIONS /api/orders/ HTTP/1.1" 200 0
INFO 2025-08-12 23:07:52,550 basehttp 7488 7280 "GET /api/orders/ HTTP/1.1" 200 944
INFO 2025-08-12 23:07:52,579 basehttp 7488 13204 "GET /api/orders/ HTTP/1.1" 200 944
INFO 2025-08-13 09:08:16,550 basehttp 7488 9464 "OPTIONS /api/colors/ HTTP/1.1" 200 0
INFO 2025-08-13 09:08:16,562 basehttp 7488 7444 "OPTIONS /api/categories/ HTTP/1.1" 200 0
INFO 2025-08-13 09:08:16,603 basehttp 7488 9464 "OPTIONS /api/products/?page=1&min_price=0&max_price=1000 HTTP/1.1" 200 0
INFO 2025-08-13 09:08:16,607 basehttp 7488 7444 "OPTIONS /api/colors/ HTTP/1.1" 200 0
INFO 2025-08-13 09:08:16,629 basehttp 7488 12124 "OPTIONS /api/shops/ HTTP/1.1" 200 0
WARNING 2025-08-13 09:08:16,859 log 7488 12124 Unauthorized: /api/products/
WARNING 2025-08-13 09:08:16,864 log 7488 9464 Unauthorized: /api/categories/
WARNING 2025-08-13 09:08:16,865 log 7488 7444 Unauthorized: /api/colors/
INFO 2025-08-13 09:08:16,867 basehttp 7488 15800 "OPTIONS /api/products/?page=1&min_price=0&max_price=1000 HTTP/1.1" 200 0
INFO 2025-08-13 09:08:16,868 basehttp 7488 1180 "OPTIONS /api/shops/ HTTP/1.1" 200 0
WARNING 2025-08-13 09:08:16,868 basehttp 7488 12124 "GET /api/products/?page=1&min_price=0&max_price=1000 HTTP/1.1" 401 183
WARNING 2025-08-13 09:08:16,913 basehttp 7488 9464 "GET /api/categories/ HTTP/1.1" 401 183
INFO 2025-08-13 09:08:16,917 basehttp 7488 11160 "OPTIONS /api/categories/ HTTP/1.1" 200 0
WARNING 2025-08-13 09:08:16,924 basehttp 7488 7444 "GET /api/colors/ HTTP/1.1" 401 183
WARNING 2025-08-13 09:08:16,938 log 7488 15800 Unauthorized: /api/colors/
WARNING 2025-08-13 09:08:17,056 basehttp 7488 15800 "GET /api/colors/ HTTP/1.1" 401 183
WARNING 2025-08-13 09:08:16,977 log 7488 12124 Unauthorized: /api/products/
WARNING 2025-08-13 09:08:17,040 log 7488 9464 Unauthorized: /api/shops/
WARNING 2025-08-13 09:08:17,051 log 7488 7444 Unauthorized: /api/categories/
WARNING 2025-08-13 09:08:16,964 log 7488 1180 Unauthorized: /api/shops/
WARNING 2025-08-13 09:08:17,111 basehttp 7488 12124 "GET /api/products/?page=1&min_price=0&max_price=1000 HTTP/1.1" 401 183
WARNING 2025-08-13 09:08:17,121 basehttp 7488 9464 "GET /api/shops/ HTTP/1.1" 401 183
WARNING 2025-08-13 09:08:17,124 basehttp 7488 7444 "GET /api/categories/ HTTP/1.1" 401 183
WARNING 2025-08-13 09:08:17,127 basehttp 7488 1180 "GET /api/shops/ HTTP/1.1" 401 183
INFO 2025-08-13 09:09:06,571 autoreload 6924 11588 Watching for file changes with StatReloader
INFO 2025-08-13 09:09:36,465 basehttp 6924 11160 "OPTIONS /api/categories/ HTTP/1.1" 200 0
INFO 2025-08-13 09:09:36,476 basehttp 6924 15728 "OPTIONS /api/shops/ HTTP/1.1" 200 0
INFO 2025-08-13 09:09:36,488 views 6924 11160 CategoryViewSet.list called with params: <QueryDict: {}>
INFO 2025-08-13 09:09:36,495 views 6924 15728 ShopViewSet.list called with params: <QueryDict: {}>
INFO 2025-08-13 09:09:36,499 basehttp 6924 7488 "OPTIONS /api/colors/ HTTP/1.1" 200 0
INFO 2025-08-13 09:09:36,537 views 6924 7488 ColorViewSet.list called with params: <QueryDict: {}>
INFO 2025-08-13 09:09:36,560 views 6924 15728 Successfully paginated 20 shops
INFO 2025-08-13 09:09:36,571 views 6924 7488 Successfully returned 4 colors
INFO 2025-08-13 09:09:36,586 basehttp 6924 13420 "OPTIONS /api/products/?page=1&min_price=0&max_price=1000 HTTP/1.1" 200 0
INFO 2025-08-13 09:09:36,608 views 6924 11160 Successfully returned 4 categories
INFO 2025-08-13 09:09:36,674 basehttp 6924 7488 "GET /api/colors/ HTTP/1.1" 200 780
INFO 2025-08-13 09:09:36,690 views 6924 13420 ProductViewSet.list called with params: <QueryDict: {'page': ['1'], 'min_price': ['0'], 'max_price': ['1000']}>
INFO 2025-08-13 09:09:36,690 basehttp 6924 15728 "GET /api/shops/ HTTP/1.1" 200 7671
INFO 2025-08-13 09:09:36,703 basehttp 6924 11160 "GET /api/categories/ HTTP/1.1" 200 7778
INFO 2025-08-13 09:09:36,800 views 6924 13420 Successfully paginated 10 products
INFO 2025-08-13 09:09:36,972 basehttp 6924 13420 "GET /api/products/?page=1&min_price=0&max_price=1000 HTTP/1.1" 200 15920
INFO 2025-08-13 09:09:56,425 views 6924 15624 ProductViewSet.retrieve called with slug: function-based-user-facing-frame
INFO 2025-08-13 09:09:56,467 views 6924 15624 Successfully retrieved product: Function-based user-facing frame
INFO 2025-08-13 09:09:56,518 basehttp 6924 15624 "GET /api/products/function-based-user-facing-frame/ HTTP/1.1" 200 1711
INFO 2025-08-13 09:09:57,006 views 6924 14736 ProductViewSet.retrieve called with slug: function-based-user-facing-frame
INFO 2025-08-13 09:09:57,081 views 6924 14736 Successfully retrieved product: Function-based user-facing frame
INFO 2025-08-13 09:09:57,118 basehttp 6924 14736 "GET /api/products/function-based-user-facing-frame/ HTTP/1.1" 200 1711
INFO 2025-08-13 09:10:31,905 basehttp 6924 13420 "OPTIONS /api/categories/ HTTP/1.1" 200 0
INFO 2025-08-13 09:10:31,908 basehttp 6924 7488 "OPTIONS /api/products/?page=1&min_price=0&max_price=1000 HTTP/1.1" 200 0
INFO 2025-08-13 09:10:31,917 basehttp 6924 11160 "OPTIONS /api/shops/ HTTP/1.1" 200 0
INFO 2025-08-13 09:10:31,917 basehttp 6924 15728 "OPTIONS /api/colors/ HTTP/1.1" 200 0
INFO 2025-08-13 09:10:31,938 basehttp 6924 13420 "OPTIONS /api/colors/ HTTP/1.1" 200 0
INFO 2025-08-13 09:10:31,948 basehttp 6924 7488 "OPTIONS /api/products/?page=1&min_price=0&max_price=1000 HTTP/1.1" 200 0
INFO 2025-08-13 09:10:31,967 basehttp 6924 7316 "OPTIONS /api/categories/ HTTP/1.1" 200 0
INFO 2025-08-13 09:10:32,027 views 6924 11160 ProductViewSet.list called with params: <QueryDict: {'page': ['1'], 'min_price': ['0'], 'max_price': ['1000']}>
INFO 2025-08-13 09:10:32,033 views 6924 15728 CategoryViewSet.list called with params: <QueryDict: {}>
INFO 2025-08-13 09:10:32,036 basehttp 6924 13004 "OPTIONS /api/shops/ HTTP/1.1" 200 0
INFO 2025-08-13 09:10:32,041 views 6924 13420 ColorViewSet.list called with params: <QueryDict: {}>
INFO 2025-08-13 09:10:32,049 views 6924 7488 ShopViewSet.list called with params: <QueryDict: {}>
INFO 2025-08-13 09:10:32,055 views 6924 7316 ColorViewSet.list called with params: <QueryDict: {}>
INFO 2025-08-13 09:10:32,100 views 6924 13004 ProductViewSet.list called with params: <QueryDict: {'page': ['1'], 'min_price': ['0'], 'max_price': ['1000']}>
INFO 2025-08-13 09:10:32,123 views 6924 13420 Successfully returned 4 colors
INFO 2025-08-13 09:10:32,215 basehttp 6924 13420 "GET /api/colors/ HTTP/1.1" 200 780
INFO 2025-08-13 09:10:32,250 views 6924 13420 CategoryViewSet.list called with params: <QueryDict: {}>
INFO 2025-08-13 09:10:32,272 views 6924 7488 Successfully paginated 20 shops
INFO 2025-08-13 09:10:32,340 views 6924 7316 Successfully returned 4 colors
INFO 2025-08-13 09:10:32,350 views 6924 11160 Successfully paginated 10 products
INFO 2025-08-13 09:10:32,454 views 6924 13004 Successfully paginated 10 products
INFO 2025-08-13 09:10:32,457 basehttp 6924 7316 "GET /api/colors/ HTTP/1.1" 200 780
INFO 2025-08-13 09:10:32,496 views 6924 15728 Successfully returned 4 categories
INFO 2025-08-13 09:10:32,641 views 6924 7316 ShopViewSet.list called with params: <QueryDict: {}>
INFO 2025-08-13 09:10:32,686 basehttp 6924 15728 "GET /api/categories/ HTTP/1.1" 200 7778
INFO 2025-08-13 09:10:32,752 views 6924 7316 Successfully paginated 20 shops
INFO 2025-08-13 09:10:32,754 views 6924 13420 Successfully returned 4 categories
INFO 2025-08-13 09:10:32,821 basehttp 6924 13420 "GET /api/categories/ HTTP/1.1" 200 7778
INFO 2025-08-13 09:10:32,892 basehttp 6924 7488 "GET /api/shops/ HTTP/1.1" 200 7671
INFO 2025-08-13 09:10:33,039 basehttp 6924 11160 "GET /api/products/?page=1&min_price=0&max_price=1000 HTTP/1.1" 200 15920
INFO 2025-08-13 09:10:33,054 basehttp 6924 13004 "GET /api/products/?page=1&min_price=0&max_price=1000 HTTP/1.1" 200 15920
INFO 2025-08-13 09:10:33,055 basehttp 6924 7316 "GET /api/shops/ HTTP/1.1" 200 7671
INFO 2025-08-13 09:10:36,018 views 6924 10608 ProductViewSet.retrieve called with slug: organic-analyzing-secured-line
INFO 2025-08-13 09:10:36,043 views 6924 10608 Successfully retrieved product: Organic analyzing secured line
INFO 2025-08-13 09:10:36,070 basehttp 6924 10608 "GET /api/products/organic-analyzing-secured-line/ HTTP/1.1" 200 1525
